ROW_ID,ITEMID,VPICU VARIABLE,LABEL,CATEGORY,UNITNAME,ABBREVIATION,DBSOURCE,LINKSTO,PARAM_TYPE,CONCEPTID,Msmts / hour,Total msmts,Patients with >1 msmt,% patients 100% missing,Mean,Stddev
962,3348,3348,capillary refill rate,Capillary Refill,,,,carevue,chartevents,,,,,,,,
4840,8377,3348,capillary refill rate,Capillary Refill [Left],,,,carevue,chartevents,,,,,,,,
120,115,3348,capillary refill rate,Capillary Refill [Right],,,,carevue,chartevents,,,,,,,,
13102,224308,3348,capillary refill rate,Capillary Refill L,Cardiovascular (Pulses),,Capillary Refill L,metavision,,Text,,,,,,,
13202,223951,3348,capillary refill rate,Capillary Refill R,Cardiovascular (Pulses),,Capillary Refill R,metavision,,Text,,,,,,,
4827,8364,8364,diastolic blood pressure,ABP [Diastolic],,,,carevue,chartevents,,,,,,,,
13688,225310,8364,diastolic blood pressure,ART BP Diastolic,Routine Vital Signs,mmHg,ART BP Diastolic,metavision,chartevents,Numeric,,,,,,,
12717,220051,8364,diastolic blood pressure,Arterial Blood Pressure diastolic,Routine Vital Signs,mmHg,ABPd,metavision,chartevents,Numeric,,,,,,,
4831,8368,8364,diastolic blood pressure,Arterial BP [Diastolic],,,,carevue,chartevents,,,,,,,,
5017,8555,8364,diastolic blood pressure,Arterial BP #2 [Diastolic],,,,carevue,chartevents,,,,,,,,
4953,8502,8364,diastolic blood pressure,BP Cuff [Diastolic],,,,carevue,chartevents,,,,,,,,
13424,224643,8364,diastolic blood pressure,Manual Blood Pressure Diastolic Left,Routine Vital Signs,mmHg,Manual BPd L,metavision,chartevents,Numeric,,,,,,,
14618,227242,8364,diastolic blood pressure,Manual Blood Pressure Diastolic Right,Routine Vital Signs,mmHg,Manual BPd R,metavision,chartevents,Numeric,,,,,,,
4903,8440,8364,diastolic blood pressure,Manual BP [Diastolic],,,,carevue,chartevents,,,,,,,,
4904,8441,8364,diastolic blood pressure,NBP [Diastolic],,,,carevue,chartevents,,,,,,,,
12735,220180,8364,diastolic blood pressure,Non Invasive Blood Pressure diastolic,Routine Vital Signs,mmHg,NBPd,metavision,chartevents,Numeric,,,,,,,
15429,228640,228640,EtCO2,EtCO2,Routine Vital Signs,None,EtCO2,metavision,chartevents,Numeric,,,,,,,
3208,1817,228640,EtCO2,ETCO2,,,,carevue,chartevents,,,,,,,,
3911,2981,2981,fraction inspired o2,FiO2,,,,carevue,chartevents,,,,,,,,
1019,3420,2981,fraction inspired o2,FIO2,,,,carevue,chartevents,,,,,,,,
1021,3422,2981,fraction inspired o2,FIO2 [Meas],,,,carevue,chartevents,,,,,,,,
12804,223835,2981,fraction inspired o2,Inspired O2 Fraction,Respiratory,None,FiO2,metavision,chartevents,Numeric,,,,,,,
14436,226228,226228,gender,Gender,ADT,,Gender,metavision,,Text,,,,,,,
199,198,198,glasgow coma scale,GCS Total,,,,carevue,chartevents,,,,,,,,
3205,1812,1812,glucose,abg: glucose,,,,carevue,chartevents,,,,,,,,
2866,3744,1812,glucose,Blood Glucose,Chemistry,,,carevue,chartevents,,,,,,,,
2867,3745,1812,glucose,BloodGlucose,Quick Admit,,,carevue,chartevents,,,,,,,,
2981,1529,1812,glucose,Glucose,Chemistry,,,carevue,chartevents,,,,,,,,
14111,225664,1812,glucose,Glucose finger stick,Labs,None,Glucose finger stick,metavision,chartevents,Numeric,,,,,,,
12712,220045,220045,heart rate,Heart Rate,Routine Vital Signs,bpm,HR,metavision,chartevents,Numeric,,,,,,,
212,211,220045,heart rate,Heart Rate,,,,carevue,chartevents,,,,,,,,
14492,226707,226707,height,Height,General,Inch,Height,metavision,chartevents,Numeric,,,,,,,
14496,226730,226707,height,Height (cm),General,cm,Height (cm),metavision,chartevents,Numeric,,,,,,,
1402,1394,226707,height,Height Inches,,,,carevue,chartevents,,,,,,,,
1271,1126,1126,ph,Art.pH,ABG,,,carevue,chartevents,,,,,,,,
700,780,1126,ph,Arterial pH,ABG,,,carevue,chartevents,,,,,,,,
3122,1673,1126,ph,PH,,,,carevue,chartevents,,,,,,,,
4660,7459,1126,ph,Ph,,,,carevue,chartevents,,,,,,,,
1630,4753,1126,ph,pH (Art),ABG,,,carevue,chartevents,,,,,,,,
12802,223830,1126,ph,PH (Arterial),Labs,None,PH (Arterial),metavision,chartevents,Numeric,,,,,,,
2232,4202,1126,ph,pH (cap),Other ABGs,,,carevue,chartevents,,,,,,,,
2926,3839,1126,ph,ph (other),Other ABGs,,,carevue,chartevents,,,,,,,,
12745,220274,1126,ph,PH (Venous),Labs,None,PH (Venous),metavision,chartevents,Numeric,,,,,,,
